# Базы (content_domain_id) без content_label, 11-17.09.
# Получено из полной выгрузки /v1/subdomains (154800 строк, date_field=pipeline_started).
# Всего баз за неделю 752, без контента 286, смешанных 0.
# content_domain_id	база		строк	старт пайплайна
1177	164casino.team	206	2026-09-11T19:28:01+03:00
1243	8367.lol	206	2026-09-11T19:28:02+03:00
1198	5512.team	206	2026-09-11T19:28:02+03:00
1178	9165.team	206	2026-09-11T19:28:03+03:00
1230	9442.team	206	2026-09-11T19:28:04+03:00
1104	casinoqi.team	206	2026-09-11T20:45:01+03:00
1062	cgxs.casino	206	2026-09-11T20:45:03+03:00
1086	tapz.casino	206	2026-09-11T20:45:03+03:00
1057	u0a3.casino	206	2026-09-11T20:45:04+03:00
1128	xpnm.team	206	2026-09-11T20:45:05+03:00
1227	casino66.team	206	2026-09-11T21:28:01+03:00
1229	z1o4.team	206	2026-09-11T21:28:02+03:00
1228	r4p4.team	206	2026-09-11T21:28:02+03:00
1197	5600.team	206	2026-09-11T21:38:36+03:00
1221	kura.team	206	2026-09-11T21:38:37+03:00
1195	z1n9.team	206	2026-09-11T21:38:38+03:00
1224	1938.team	206	2026-09-11T22:36:01+03:00
1196	casino753.team	206	2026-09-11T22:36:02+03:00
1222	h1p5.team	206	2026-09-11T22:36:03+03:00
1151	1668.team	206	2026-09-11T23:30:02+03:00
1117	2835.lol	206	2026-09-11T23:30:03+03:00
1071	casino1009.casino	206	2026-09-11T23:30:04+03:00
1053	casino1009s.casino	206	2026-09-11T23:30:06+03:00
1155	casinor7.team	206	2026-09-11T23:30:07+03:00
1147	gngv.lol	206	2026-09-11T23:30:08+03:00
1163	jgcasino.team	206	2026-09-11T23:30:09+03:00
1068	1209cas.casino	206	2026-09-12T00:45:01+03:00
1074	1209casino.casino	206	2026-09-12T00:45:03+03:00
1058	1209s.casino	206	2026-09-12T00:45:04+03:00
1125	htqr.team	206	2026-09-12T00:45:05+03:00
1114	y0v.team	206	2026-09-12T00:45:07+03:00
1067	1209dk.casino	206	2026-09-12T08:00:02+03:00
1055	1209hh.casino	206	2026-09-12T08:00:03+03:00
1082	1209k.casino	206	2026-09-12T08:00:04+03:00
1126	rzbcasino.team	206	2026-09-12T08:00:05+03:00
1121	sdyv.team	206	2026-09-12T08:00:06+03:00
1269	0148.team	206	2026-09-12T13:06:39+03:00
1246	0328.team	206	2026-09-12T13:06:40+03:00
1172	022casino.team	206	2026-09-12T13:06:40+03:00
1324	2120.team	206	2026-09-12T13:06:41+03:00
1321	21casino.team	206	2026-09-12T13:06:41+03:00
1171	vitt.lol	206	2026-09-12T13:17:01+03:00
1326	watc.team	206	2026-09-12T13:17:02+03:00
1190	wssi.team	206	2026-09-12T13:17:03+03:00
1290	xwbw.team	206	2026-09-12T13:17:03+03:00
1304	zgin.team	206	2026-09-12T13:17:04+03:00
1257	0417.team	206	2026-09-12T13:35:02+03:00
1166	0574.team	206	2026-09-12T13:35:09+03:00
1186	2532.team	206	2026-09-12T13:35:44+03:00
1288	3002.lol	206	2026-09-12T13:36:12+03:00
1174	3508.lol	206	2026-09-12T13:36:31+03:00
1247	0784.team	206	2026-09-12T14:08:01+03:00
1280	1081.team	206	2026-09-12T14:08:02+03:00
1089	1209dd.casino	206	2026-09-12T14:08:03+03:00
1193	1970.team	206	2026-09-12T14:08:04+03:00
1165	2250.team	206	2026-09-12T14:08:04+03:00
