# Полная выгрузка конверсий 31.08-07.09.2026 — 128 привязанных событий из 133 строк
время;тип;clickid;домен;зона;бренд;гео;движок;группа контента;страниц;даты;день запуска
2026-09-05 22:15;регистрация;4182fe6d050ee86f;7395.team;.team;slott;DE;dorgen_engine;NEW50_2_12pages_withdate_02.09;12;с датами;02.09
2026-09-05 22:15;регистрация;051ebb1e86f0cb57;2369.lol;.lol;luckybird;PL;dorgen_engine;NEW50_3_12pages_withdate_styled;12;с датами;03.09
2026-09-05 21:15;регистрация;03fb629eec368df2;unxn.casino;.casino;getx;DE;dorgen_engine;NEW50_12pages_withdate_01.09;12;с датами;01.09
2026-09-05 20:15;регистрация;71e97625152130c8;tvuy.team;.team;vulkanplatinum;DE;dorgen_engine;NEW50_2_12pages_nodate_02.09;12;без дат;02.09
2026-09-05 19:15;регистрация;a9a2e3e9bb580318;1795.team;.team;sol;RU;dorgen_engine;nabor-244…253 (dorgen.net, без потолка вложенности);;;31.08
2026-09-05 19:15;регистрация;c2b4544aeda8a1a5;gt7.team;.team;trix;FR;dorgen_engine;списка не было;;;?
2026-09-05 19:15;регистрация;a99ec3404ae2baa2;9124.lol;.lol;spinto;NL;dorgen_engine;Generator_A4_staryy_stil;;;03.09
2026-09-05 14:15;регистрация;2ecf50f5d62187cc;decasino.team;.team;betera;DE;dorgen_engine;Generator_346353_styled_img;;;04.09
2026-09-05 12:15;регистрация;a842dc170199872a;2097.team;.team;luckybear;RU;dorgen_engine;NEW50_3_12pages_withdate_styled;12;с датами;03.09
2026-09-05 07:15;регистрация;cc4335cf39bca37e;tgmb.team;.team;shuffle;NL;dorgen_engine;NEW50_12pages_withdate_01.09;12;с датами;02.09
2026-09-05 04:15;регистрация;0af45eb11c9d1c02;casino4934.lol;.lol;cat;DE;dorgen_engine;NEW20_12pages_withdate_styled_img;12;с датами;04.09
2026-09-05 04:15;регистрация;93ed8abeb50572c4;2097.lol;.lol;brillx;NL;dorgen_engine;NEW50_3_12pages_nodate_styled;12;без дат;03.09
2026-09-05 04:15;регистрация;c74cffa87cb44db6;2369.team;.team;fenix;NL;dorgen_engine;NEW50_7pages_nodate_01.09;7;без дат;02.09
2026-09-05 01:15;регистрация;c084287885a49d3d;9124.lol;.lol;luckybird;DE;dorgen_engine;Generator_A4_staryy_stil;;;03.09
2026-09-05 00:15;регистрация;7b0f6f2a155673b2;gwrn.team;.team;dragonmoney;DE;dorgen_engine;списка не было;;;?
2026-09-05 00:15;регистрация;a3db69d56127f131;p8v.team;.team;vivaro;NL;dorgen_engine;12page (кастомный контент, 12 страниц);12;;31.08
2026-09-04 23:15;регистрация;1c98de3ee56ecf6e;0665.team;.team;luckybird;PE;dorgen_engine;NEW50_2_12pages_withdate_02.09;12;с датами;02.09
2026-09-04 23:15;регистрация;4fd51d6df57e8b50;j7n.team;.team;fairspin;DE;dorgen_engine;nabor-244…253 (dorgen.net, без потолка вложенности);;;31.08
2026-09-04 22:15;регистрация;d9e7d0fe3e966607;l5n.team;.team;vulkan24;PL;dorgen_engine;NEW50_12pages_withdate_01.09;12;с датами;01.09
2026-09-04 22:15;регистрация;f6205d7957747d52;bztk.team;.team;luckybear;PL;dorgen_engine;nabor-244…253 (dorgen.net, без потолка вложенности);;;31.08
2026-09-04 21:15;регистрация;49ed15a02fb0bf0a;1083.lol;.lol;slotgames;RU;dorgen_engine;NEW50_2_12pages_nodate_02.09;12;без дат;02.09
2026-09-04 21:15;регистрация;2784ef6ec3397bc5;mkmt.team;.team;luckybear;UA;dorgen_engine;NEW50_3_12pages_withdate_styled;12;с датами;03.09
2026-09-04 20:29;депозит;49ed15a02fb0bf0a;1083.lol;.lol;slotgames;RU;dorgen_engine;NEW50_2_12pages_nodate_02.09;12;без дат;02.09
2026-09-04 20:15;регистрация;49ed15a02fb0bf0a;1083.lol;.lol;slotgames;RU;dorgen_engine;NEW50_2_12pages_nodate_02.09;12;без дат;02.09
2026-09-04 20:15;регистрация;2b371cdb9b03f888;8829.lol;.lol;mers;PL;dorgen_engine;NEW50_2_12pages_nodate_02.09;12;без дат;02.09
2026-09-04 19:15;регистрация;dd914d9e7fb557e2;5580.team;.team;like;UZ;dorgen_engine;NEW50_7pages_nodate_01.09;7;без дат;02.09
2026-09-04 18:15;регистрация;dc041a1b406718b5;tgmb.team;.team;vivaro;AM;dorgen_engine;NEW50_12pages_withdate_01.09;12;с датами;02.09
2026-09-04 17:26;депозит;dda2c66a495a3e75;2418.team;.team;trix;NL;dorgen_engine;nabor-244…253 (dorgen.net, без потолка вложенности);;;31.08
