группа контента,зона,аккаунт,блок часа,баз,сайтов,вышли в поиск,выход %,кликов в окне,регистраций,ФД,рег на 100 сайтов
content-2026-09-14c-7str-oform-1,team,повторный,00-05,17,2671,574,21.5,23718,0,0,0.0
content-2026-09-14c-7str-oform-1,team,повторный,18-23,11,2011,534,26.6,22500,4,0,0.199
content-2026-09-14c-7str-oform-1,lol,повторный,18-23,10,1455,292,20.1,3436,1,1,0.069
content-2026-09-14c-7str-oform-1,lol,повторный,00-05,8,1073,235,21.9,4578,2,1,0.186
content-2026-09-14c-7str-oform-1,team,повторный,06-11,7,674,116,17.2,1919,0,0,0.0
content-2026-09-14c-7str-oform-1,lol,повторный,12-17,4,600,152,25.3,3029,1,0,0.167
content-2026-09-14c-7str-oform-1,lol,повторный,06-11,6,580,89,15.3,1117,0,0,0.0
content-2026-09-14c-7str-oform-1,team,повторный,12-17,2,206,54,26.2,3368,1,0,0.485
content-2026-09-14c-7str-oform-2,team,повторный,12-17,22,3300,901,27.3,26358,12,1,0.364
content-2026-09-14c-7str-oform-2,lol,повторный,12-17,14,2100,376,17.9,5571,1,1,0.048
content-2026-09-14c-7str-oform-2,lol,повторный,18-23,19,1814,346,19.1,11202,2,1,0.11
content-2026-09-14c-7str-oform-2,team,повторный,18-23,22,1232,181,14.7,4009,0,0,0.0
content-2026-09-14c-7str-oform-2,lol,повторный,00-05,3,450,131,29.1,3650,0,0,0.0
content-2026-09-14c-7str-oform-2,lol,повторный,06-11,3,168,36,21.4,4521,0,0,0.0
content-2026-09-15-12str-oform,team,повторный,06-11,2,356,32,9.0,172,0,0,0.0
content-2026-09-15-12str-oform,lol,повторный,06-11,1,150,0,0.0,0,0,0,0.0
content-2026-09-15-12str-oform,lol,повторный,12-17,1,56,1,1.8,2,0,0,0.0
content-2026-09-15-12str-oform,team,повторный,12-17,1,56,5,8.9,31,0,0,0.0
content-2026-09-15-7str-oform-1,lol,повторный,06-11,20,3092,217,7.0,2155,0,0,0.0
content-2026-09-15-7str-oform-1,lol,повторный,00-05,14,2172,188,8.7,1311,0,0,0.0
content-2026-09-15-7str-oform-1,team,повторный,00-05,12,1497,153,10.2,2752,3,1,0.2
content-2026-09-15-7str-oform-1,team,повторный,06-11,11,1274,128,10.0,1486,2,0,0.157
content-2026-09-15-7str-oform-1,team,повторный,18-23,5,730,105,14.4,4754,1,1,0.137
content-2026-09-15-7str-oform-1,lol,повторный,12-17,10,654,33,5.0,579,0,0,0.0
content-2026-09-15-7str-oform-1,lol,повторный,18-23,3,468,46,9.8,387,1,0,0.214
content-2026-09-15-7str-oform-1,team,повторный,12-17,4,412,55,13.3,1883,0,0,0.0
content-2026-09-15-7str-oform-2,team,повторный,18-23,24,3094,309,10.0,8838,2,1,0.065
content-2026-09-15-7str-oform-2,team,повторный,12-17,17,2880,448,15.6,10480,1,0,0.035
content-2026-09-15-7str-oform-2,lol,повторный,18-23,15,2640,289,10.9,8655,0,0,0.0
content-2026-09-15-7str-oform-2,lol,повторный,12-17,9,1386,268,19.3,6245,2,1,0.144
content-2026-09-15-7str-oform-2,lol,повторный,06-11,2,300,54,18.0,3873,0,0,0.0
content-2026-09-16-12str,team,повторный,18-23,4,674,98,14.5,2476,0,0,0.0
content-2026-09-16-12str,lol,повторный,12-17,2,300,39,13.0,889,0,0,0.0
content-2026-09-16-12str,team,повторный,12-17,1,150,21,14.0,443,0,0,0.0
content-2026-09-16-12str,lol,повторный,18-23,2,112,9,8.0,78,0,0,0.0
content-2026-09-16-7str,team,повторный,12-17,17,2550,410,16.1,6113,2,1,0.078
content-2026-09-16-7str,team,повторный,18-23,22,1981,247,12.5,3650,0,0,0.0
content-2026-09-16-7str,lol,повторный,12-17,11,1650,169,10.2,3415,0,0,0.0
content-2026-09-16-7str,lol,повторный,18-23,15,1440,178,12.4,6159,2,0,0.139
content-2026-09-16-7str,lol,повторный,00-05,4,600,26,4.3,462,0,0,0.0
content-2026-09-16-7str,team,повторный,00-05,2,151,42,27.8,5628,1,0,0.662
content-2026-09-17-7str-oform-2,lol,повторный,00-05,12,1800,238,13.2,6291,2,0,0.111
content-2026-09-17-7str-oform-2,lol,повторный,12-17,12,1800,155,8.6,1146,0,0,0.0
content-2026-09-17-7str-oform-2,team,повторный,00-05,8,1200,161,13.4,3897,5,0,0.417
content-2026-09-17-7str-oform-2,team,повторный,12-17,2,300,109,36.3,1439,1,0,0.333
content-2026-09-17-7str-oform-2,team,повторный,18-23,1,150,38,25.3,348,0,0,0.0
content-2026-09-17-7str-oform-2,lol,повторный,18-23,1,150,2,1.3,4,0,0,0.0
content-2026-09-17b-7str-oform,lol,повторный,12-17,18,2700,573,21.2,10442,2,0,0.074
content-2026-09-17b-7str-oform,lol,повторный,18-23,3,450,74,16.4,905,0,0,0.0
degtyarnya,team,свежий,12-17,1,150,7,4.7,13,0,0,0.0
degtyarnya,team,свежий,00-05,1,56,2,3.6,2,0,0,0.0
drobilnyydvor1,lol,свежий,12-17,1,100,6,6.0,11,0,0,0.0
drobilnyydvor1,lol,свежий,00-05,1,56,0,0.0,0,0,0,0.0
drobilnyydvor1,lol,свежий,06-11,1,50,9,18.0,13,0,0,0.0
kruzhevnayamasterskaya1html,team,свежий,12-17,1,150,53,35.3,684,0,0,0.0
kruzhevnayamasterskaya1html,team,свежий,00-05,1,56,14,25.0,270,0,0,0.0
nabor391,team,свежий,18-23,1,150,5,3.3,19,0,0,0.0
nabor391,team,свежий,00-05,1,56,1,1.8,1,0,0,0.0
nabory-490-494_styled_img,team,свежий,18-23,4,600,29,4.8,204,0,0,0.0
nabory-490-494_styled_img,team,свежий,00-05,4,224,11,4.9,27,0,0,0.0
nabory-490-494_styled_img,casino,свежий,18-23,1,150,26,17.3,161,0,0,0.0
nabory-490-494_styled_img,casino,свежий,00-05,1,56,7,12.5,28,0,0,0.0
nabory-495-499_styled_img,team,свежий,12-17,3,450,30,6.7,455,0,0,0.0
nabory-495-499_styled_img,team,свежий,00-05,4,224,16,7.1,213,0,0,0.0
nabory-495-499_styled_img,lol,свежий,12-17,1,150,7,4.7,12,0,0,0.0
nabory-495-499_styled_img,team,свежий,18-23,1,150,1,0.7,1,0,0,0.0
nabory-495-499_styled_img,lol,свежий,00-05,1,56,2,3.6,2,0,0,0.0
nabory-500-509_styled_img,team,свежий,12-17,9,1350,26,1.9,159,0,0,0.0
nabory-500-509_styled_img,team,свежий,00-05,9,504,5,1.0,20,0,0,0.0
nabory-500-509_styled_img,lol,свежий,06-11,1,150,1,0.7,2,0,0,0.0
nabory-500-509_styled_img,lol,свежий,00-05,1,56,0,0.0,0,0,0,0.0
nabory-510-514_styled_img,team,свежий,18-23,3,450,3,0.7,35,0,0,0.0
nabory-510-514_styled_img,team,свежий,12-17,2,300,3,1.0,4,0,0,0.0
nabory-510-514_styled_img,team,свежий,00-05,5,279,1,0.4,1,0,0,0.0
nabory-515-524_styled_img,team,повторный,00-05,10,936,82,8.8,1309,0,0,0.0
nabory-515-524_styled_img,team,повторный,18-23,6,900,61,6.8,592,0,0,0.0
nabory-515-524_styled_img,team,повторный,06-11,4,224,16,7.1,392,0,0,0.0
nabory-525-534_styled_img,lol,повторный,06-11,7,1050,64,6.1,347,0,0,0.0
nabory-525-534_styled_img,team,повторный,06-11,3,450,27,6.0,103,0,0,0.0
nabory-525-534_styled_img,lol,повторный,12-17,7,392,22,5.6,72,0,0,0.0
nabory-525-534_styled_img,team,повторный,12-17,3,168,9,5.4,20,0,0,0.0
nabory-535-544_styled_img,lol,повторный,06-11,7,992,152,15.3,4029,1,0,0.101
nabory-535-544_styled_img,lol,повторный,00-05,3,450,80,17.8,2065,0,0,0.0
nabory-535-544_styled_img,team,повторный,06-11,3,318,34,10.7,1212,0,0,0.0
nabory-535-544_styled_img,team,повторный,00-05,2,300,83,27.7,2115,0,0,0.0
nabory-545-554_styled_img,lol,повторный,06-11,10,1498,239,16.0,7482,0,0,0.0
nabory-545-554_styled_img,lol,повторный,00-05,3,450,87,19.3,1216,0,0,0.0
nabory-555-564_styled_img,lol,повторный,06-11,5,750,125,16.7,3541,1,0,0.133
nabory-555-564_styled_img,team,повторный,06-11,5,750,159,21.2,1974,2,0,0.267
nabory-555-564_styled_img,lol,повторный,00-05,5,280,30,10.7,1153,0,0,0.0
nabory-555-564_styled_img,team,повторный,00-05,5,280,40,14.3,313,0,0,0.0
nabory-565-580,team,повторный,12-17,8,1097,180,16.4,2526,0,0,0.0
nabory-565-580,lol,повторный,12-17,8,998,100,10.0,2474,0,0,0.0
nabory-565-580,lol,повторный,06-11,5,650,80,12.3,922,0,0,0.0
nabory-565-580,team,повторный,06-11,4,550,77,14.0,2430,0,0,0.0
nabory-581-590,team,повторный,00-05,6,900,75,8.3,819,0,0,0.0
nabory-581-590,team,повторный,06-11,6,336,22,6.5,180,0,0,0.0
nabory-581-590,lol,повторный,00-05,2,300,33,11.0,676,0,0,0.0
nabory-581-590,team,повторный,18-23,1,206,22,10.7,124,0,0,0.0
nabory-581-590,team,свежий,00-05,1,150,27,18.0,341,0,0,0.0
nabory-581-590,team,свежий,06-11,1,56,12,21.4,81,0,0,0.0
nabory-581-590,lol,повторный,06-11,1,56,3,5.4,12,0,0,0.0
nabory-591-600,team,повторный,00-05,7,1050,125,11.9,4685,0,0,0.0
nabory-591-600,lol,повторный,00-05,3,450,30,6.7,988,0,0,0.0
nabory-591-600,team,повторный,06-11,7,392,35,8.9,277,0,0,0.0
nabory-591-600,lol,повторный,06-11,3,168,12,7.1,156,0,0,0.0
nabory-601-610,team,повторный,06-11,5,750,66,8.8,2882,2,1,0.267
nabory-601-610,team,повторный,00-05,6,486,35,7.2,354,0,0,0.0
nabory-601-610,lol,повторный,00-05,4,481,50,10.4,592,0,0,0.0
nabory-601-610,lol,повторный,06-11,3,343,26,7.6,286,0,0,0.0
nabory-611-620,lol,повторный,18-23,3,618,59,9.5,441,0,0,0.0
nabory-611-620,team,повторный,00-05,4,454,21,4.6,291,0,0,0.0
nabory-611-620,team,повторный,18-23,2,406,38,9.4,575,0,0,0.0
nabory-611-620,lol,повторный,00-05,2,300,15,5.0,26,0,0,0.0
nabory-621-630,lol,повторный,12-17,5,750,164,21.9,2019,0,0,0.0
nabory-621-630,lol,повторный,18-23,1,150,58,38.7,601,0,0,0.0
nabory-631-640,lol,повторный,18-23,2,250,52,20.8,277,1,0,0.4
nabory-631-640,lol,повторный,12-17,1,50,6,12.0,32,0,0,0.0
nabory264268_01.09,team,свежий,18-23,4,600,69,11.5,337,0,0,0.0
nabory264268_01.09,team,свежий,00-05,4,224,12,5.4,64,0,0,0.0
nabory274283,lol,свежий,00-05,7,542,35,6.5,636,0,0,0.0
nabory274283,team,свежий,12-17,3,450,101,22.4,915,0,0,0.0
nabory274283,lol,свежий,18-23,3,450,43,9.6,773,0,0,0.0
nabory274283,lol,свежий,06-11,3,450,51,11.3,387,1,0,0.222
nabory274283,team,свежий,00-05,3,168,15,8.9,347,0,0,0.0
nabory284293,lol,свежий,00-05,10,1010,53,5.2,502,0,0,0.0
nabory284293,lol,свежий,06-11,4,600,38,6.3,567,0,0,0.0
nabory284293,lol,свежий,18-23,3,450,42,9.3,435,0,0,0.0
nabory294303,lol,свежий,00-05,7,692,62,9.0,767,0,0,0.0
nabory294303,team,свежий,12-17,3,450,93,20.7,961,0,0,0.0
nabory294303,lol,свежий,18-23,3,450,41,9.1,153,0,0,0.0
nabory294303,lol,свежий,06-11,2,300,19,6.3,459,0,0,0.0
nabory294303,team,свежий,00-05,3,168,19,11.3,645,0,0,0.0
nabory400410_styled_img,lol,свежий,12-17,5,750,71,9.5,653,0,0,0.0
nabory400410_styled_img,team,свежий,18-23,4,600,61,10.2,1229,0,0,0.0
nabory400410_styled_img,lol,свежий,00-05,7,392,14,3.6,488,0,0,0.0
nabory400410_styled_img,lol,свежий,18-23,2,300,31,10.3,152,0,0,0.0
nabory400410_styled_img,team,свежий,00-05,4,224,12,5.4,252,0,0,0.0
nabory411420_styled_img,lol,свежий,18-23,5,750,66,8.8,1460,1,1,0.133
nabory411420_styled_img,team,свежий,18-23,5,750,141,18.8,3618,1,1,0.133
nabory411420_styled_img,lol,свежий,00-05,5,280,13,4.6,594,0,0,0.0
nabory411420_styled_img,team,свежий,00-05,5,280,24,8.6,313,0,0,0.0
nabory421425_styled_img,lol,свежий,18-23,3,450,78,17.3,1735,1,0,0.222
nabory421425_styled_img,team,свежий,18-23,2,300,56,18.7,777,0,0,0.0
nabory421425_styled_img,lol,свежий,00-05,3,167,20,12.0,613,0,0,0.0
nabory421425_styled_img,team,свежий,00-05,2,112,13,11.6,274,0,0,0.0
nabory431435_styled_img,team,свежий,12-17,3,450,81,18.0,2123,0,0,0.0
nabory431435_styled_img,lol,свежий,12-17,2,300,31,10.3,1406,0,0,0.0
nabory431435_styled_img,team,свежий,00-05,3,168,13,7.7,294,0,0,0.0
nabory431435_styled_img,lol,свежий,00-05,2,112,7,6.2,237,0,0,0.0
nabory436440_styled_img,team,свежий,18-23,5,750,80,10.7,1105,0,0,0.0
nabory436440_styled_img,team,свежий,00-05,5,280,17,6.1,367,0,0,0.0
nabory441443_styled_img,team,свежий,18-23,3,450,30,6.7,1126,0,0,0.0
nabory441443_styled_img,team,свежий,00-05,3,168,8,4.8,48,0,0,0.0
nabory447451_styled_img,buzz,свежий,18-23,3,450,55,12.2,1171,0,0,0.0
nabory447451_styled_img,lol,свежий,18-23,2,300,10,3.3,77,0,0,0.0
nabory447451_styled_img,buzz,свежий,00-05,3,168,13,7.7,234,0,0,0.0
nabory447451_styled_img,lol,свежий,00-05,2,112,5,4.5,29,0,0,0.0
nabory455457_styled_img,lol,свежий,06-11,3,450,14,3.1,399,0,0,0.0
nabory455457_styled_img,lol,свежий,00-05,3,168,2,1.2,15,0,0,0.0
nabory461463_styled_img,casino,свежий,12-17,3,450,116,25.8,2581,1,0,0.222
nabory461463_styled_img,casino,свежий,00-05,3,144,25,17.4,1943,0,0,0.0
nabory464466,team,свежий,18-23,3,450,30,6.7,2437,0,0,0.0
nabory464466,team,свежий,00-05,3,168,8,4.8,57,0,0,0.0
nabory470472_styled_img,team,свежий,12-17,3,450,70,15.6,827,1,0,0.222
nabory470472_styled_img,team,свежий,00-05,3,168,21,12.5,347,0,0,0.0
nabory481483_styled_img_dark,team,свежий,18-23,3,450,69,15.3,1762,0,0,0.0
nabory481483_styled_img_dark,team,свежий,00-05,3,168,16,9.5,105,0,0,0.0
nabory484486_styled_img,team,свежий,18-23,3,450,45,10.0,240,0,0,0.0
nabory484486_styled_img,team,свежий,00-05,3,168,14,8.3,159,0,0,0.0
script_yandex_12page,casino,свежий,00-05,16,1646,120,7.3,3011,0,0,0.0
script_yandex_12page,casino,свежий,06-11,5,750,90,12.0,1418,0,0,0.0
script_yandex_12page,casino,свежий,18-23,4,600,61,10.2,491,0,0,0.0
script_yandex_12page,team,свежий,18-23,4,600,105,17.5,1379,2,0,0.333
script_yandex_12page,casino,свежий,12-17,2,300,44,14.7,1500,0,0,0.0
script_yandex_12page,team,свежий,00-05,4,224,17,7.6,1583,0,0,0.0
script_yandex_12page,lol,свежий,18-23,1,150,4,2.7,7,0,0,0.0
script_yandex_12page,lol,свежий,00-05,1,56,0,0.0,0,0,0,0.0
shponnayarezka1,team,свежий,18-23,1,150,12,8.0,54,0,0,0.0
shponnayarezka1,team,свежий,00-05,1,56,2,3.6,4,0,0,0.0
struktura8x7,team,свежий,18-23,8,1200,228,19.0,6265,0,0,0.0
struktura8x7,team,свежий,00-05,8,448,37,8.3,360,0,0,0.0
tesemochnaya1,team,свежий,18-23,1,150,31,20.7,220,0,0,0.0
tesemochnaya1,team,свежий,00-05,1,56,1,1.8,1,0,0,0.0
trikomplekta,team,свежий,18-23,3,450,88,19.6,1049,0,0,0.0
trikomplekta,team,свежий,00-05,3,168,13,7.7,127,0,0,0.0
trikomplektaB,team,свежий,12-17,2,300,45,15.0,237,0,0,0.0
trikomplektaB,lol,свежий,12-17,1,150,18,12.0,114,0,0,0.0
trikomplektaB,team,свежий,00-05,2,112,0,0.0,0,0,0,0.0
trikomplektaB,lol,свежий,00-05,1,56,4,7.1,13,0,0,0.0
troykaC,team,свежий,18-23,3,450,51,11.3,947,0,0,0.0
troykaC,team,свежий,00-05,3,168,10,6.0,25,0,0,0.0
Выдача_06.09_12стр,lol,свежий,06-11,5,750,111,14.8,1598,2,0,0.267
Выдача_06.09_12стр,team,свежий,06-11,3,450,87,19.3,4955,0,0,0.0
Выдача_06.09_12стр,lol,свежий,00-05,5,280,16,5.7,320,0,0,0.0
Выдача_06.09_12стр,team,свежий,00-05,3,168,23,13.7,593,1,0,0.595
Выдача_06.09_7стр,lol,свежий,06-11,1,150,35,23.3,971,0,0,0.0
Выдача_06.09_7стр,team,свежий,06-11,1,150,2,1.3,5,0,0,0.0
Выдача_06.09_7стр,lol,свежий,00-05,1,56,1,1.8,2,0,0,0.0
Выдача_06.09_7стр,team,свежий,00-05,1,56,0,0.0,0,0,0,0.0
КОНТЕНТ НЕ ЗАПИСАН,team,свежий,18-23,149,22350,4115,18.4,243362,32,2,0.143
КОНТЕНТ НЕ ЗАПИСАН,team,свежий,00-05,229,12938,1885,14.6,97168,16,2,0.124
КОНТЕНТ НЕ ЗАПИСАН,team,свежий,12-17,69,10350,2739,26.5,172924,30,2,0.29
КОНТЕНТ НЕ ЗАПИСАН,lol,свежий,00-05,42,4444,620,14.0,23156,3,0,0.068
КОНТЕНТ НЕ ЗАПИСАН,lol,свежий,12-17,16,2400,212,8.8,5162,2,0,0.083
КОНТЕНТ НЕ ЗАПИСАН,team,повторный,18-23,16,2400,388,16.2,8241,2,0,0.083
КОНТЕНТ НЕ ЗАПИСАН,lol,свежий,18-23,12,1800,371,20.6,13697,3,0,0.167
КОНТЕНТ НЕ ЗАПИСАН,team,повторный,00-05,29,1735,352,20.3,22716,3,1,0.173
КОНТЕНТ НЕ ЗАПИСАН,team,повторный,12-17,11,1650,576,34.9,19701,6,1,0.364
КОНТЕНТ НЕ ЗАПИСАН,buzz,свежий,12-17,7,1050,140,13.3,1417,0,0,0.0
КОНТЕНТ НЕ ЗАПИСАН,buzz,свежий,18-23,4,600,53,8.8,1636,0,0,0.0
КОНТЕНТ НЕ ЗАПИСАН,buzz,свежий,00-05,11,475,37,7.8,662,0,0,0.0
КОНТЕНТ НЕ ЗАПИСАН,casino,свежий,18-23,3,450,152,33.8,9589,2,0,0.444
КОНТЕНТ НЕ ЗАПИСАН,casino,свежий,00-05,4,224,45,20.1,2066,0,0,0.0
КОНТЕНТ НЕ ЗАПИСАН,online,повторный,12-17,1,150,49,32.7,417,0,0,0.0
КОНТЕНТ НЕ ЗАПИСАН,top,свежий,12-17,1,150,8,5.3,24,0,0,0.0
КОНТЕНТ НЕ ЗАПИСАН,icu,свежий,12-17,1,150,6,4.0,24,0,0,0.0
КОНТЕНТ НЕ ЗАПИСАН,quest,свежий,12-17,1,150,8,5.3,23,0,0,0.0
КОНТЕНТ НЕ ЗАПИСАН,bond,свежий,12-17,1,150,11,7.3,34,0,0,0.0
КОНТЕНТ НЕ ЗАПИСАН,cyou,свежий,18-23,1,150,13,8.7,249,0,0,0.0
КОНТЕНТ НЕ ЗАПИСАН,sbs,повторный,12-17,1,150,35,23.3,420,0,0,0.0
КОНТЕНТ НЕ ЗАПИСАН,rest,свежий,12-17,1,150,27,18.0,184,0,0,0.0
КОНТЕНТ НЕ ЗАПИСАН,xyz,свежий,12-17,1,150,0,0.0,0,0,0,0.0
КОНТЕНТ НЕ ЗАПИСАН,cfd,свежий,12-17,1,150,6,4.0,12,0,0,0.0
КОНТЕНТ НЕ ЗАПИСАН,cloud,свежий,18-23,1,150,14,9.3,403,0,0,0.0
КОНТЕНТ НЕ ЗАПИСАН,store,свежий,18-23,1,150,36,24.0,4077,1,0,0.667
КОНТЕНТ НЕ ЗАПИСАН,online,свежий,18-23,1,150,44,29.3,897,0,0,0.0
КОНТЕНТ НЕ ЗАПИСАН,site,свежий,18-23,1,150,9,6.0,120,0,0,0.0
КОНТЕНТ НЕ ЗАПИСАН,shop,свежий,18-23,1,150,16,10.7,768,1,0,0.667
КОНТЕНТ НЕ ЗАПИСАН,work,свежий,18-23,1,150,23,15.3,152,0,0,0.0
КОНТЕНТ НЕ ЗАПИСАН,live,свежий,18-23,1,150,23,15.3,309,0,0,0.0
КОНТЕНТ НЕ ЗАПИСАН,click,свежий,18-23,1,150,43,28.7,690,1,0,0.667
КОНТЕНТ НЕ ЗАПИСАН,fun,свежий,18-23,1,150,19,12.7,356,0,0,0.0
КОНТЕНТ НЕ ЗАПИСАН,space,свежий,18-23,1,150,0,0.0,0,0,0,0.0
КОНТЕНТ НЕ ЗАПИСАН,casino,свежий,12-17,1,150,6,4.0,19,0,0,0.0
КОНТЕНТ НЕ ЗАПИСАН,cloud,свежий,00-05,1,56,5,8.9,12,0,0,0.0
КОНТЕНТ НЕ ЗАПИСАН,store,свежий,00-05,1,56,6,10.7,147,0,0,0.0
КОНТЕНТ НЕ ЗАПИСАН,online,свежий,00-05,1,56,11,19.6,406,0,0,0.0
КОНТЕНТ НЕ ЗАПИСАН,site,свежий,00-05,1,56,1,1.8,10,0,0,0.0
КОНТЕНТ НЕ ЗАПИСАН,shop,свежий,00-05,1,56,7,12.5,204,0,0,0.0
КОНТЕНТ НЕ ЗАПИСАН,work,свежий,00-05,1,56,3,5.4,19,0,0,0.0
КОНТЕНТ НЕ ЗАПИСАН,click,свежий,00-05,1,56,10,17.9,781,0,0,0.0
КОНТЕНТ НЕ ЗАПИСАН,live,свежий,00-05,1,56,5,8.9,97,0,0,0.0
КОНТЕНТ НЕ ЗАПИСАН,fun,свежий,00-05,1,56,3,5.4,25,0,0,0.0
КОНТЕНТ НЕ ЗАПИСАН,space,свежий,00-05,1,56,0,0.0,0,0,0,0.0
КОНТЕНТ НЕ ЗАПИСАН,sbs,повторный,00-05,1,49,11,22.4,254,0,0,0.0
КОНТЕНТ НЕ ЗАПИСАН,rest,свежий,00-05,1,49,5,10.2,19,0,0,0.0
КОНТЕНТ НЕ ЗАПИСАН,xyz,свежий,00-05,1,49,0,0.0,0,0,0,0.0
КОНТЕНТ НЕ ЗАПИСАН,cfd,свежий,00-05,1,49,0,0.0,0,0,0,0.0
КОНТЕНТ НЕ ЗАПИСАН,cyou,свежий,00-05,1,48,3,6.2,3,0,0,0.0
КОНТЕНТ НЕ ЗАПИСАН,online,повторный,00-05,1,34,5,14.7,15,0,0,0.0
КОНТЕНТ НЕ ЗАПИСАН,top,свежий,00-05,1,34,0,0.0,0,0,0,0.0
КОНТЕНТ НЕ ЗАПИСАН,icu,свежий,00-05,1,34,0,0.0,0,0,0,0.0
КОНТЕНТ НЕ ЗАПИСАН,quest,свежий,00-05,1,34,0,0.0,0,0,0,0.0
КОНТЕНТ НЕ ЗАПИСАН,bond,свежий,00-05,1,34,0,0.0,0,0,0,0.0
КОНТРОЛЬ NEW50_5_7pages_nodate_21.08,team,свежий,12-17,9,1350,292,21.6,42409,3,1,0.222
КОНТРОЛЬ NEW50_5_7pages_nodate_21.08,team,свежий,18-23,7,1050,168,16.0,2473,0,0,0.0
КОНТРОЛЬ NEW50_5_7pages_nodate_21.08,team,свежий,00-05,16,895,75,8.4,1963,1,0,0.112
КОНТРОЛЬ NEW50_5_7pages_nodate_21.08,lol,свежий,12-17,2,300,30,10.0,716,0,0,0.0
КОНТРОЛЬ NEW50_5_7pages_nodate_21.08,lol,свежий,00-05,2,112,4,3.6,19,0,0,0.0
ТЕСТ B Generator_11page_NOimg_24.08,team,свежий,18-23,9,1350,265,19.6,14894,0,0,0.0
ТЕСТ B Generator_11page_NOimg_24.08,team,свежий,00-05,9,504,62,12.3,1924,0,0,0.0
ТЕСТ B Generator_11page_NOimg_24.08,lol,свежий,18-23,2,300,31,10.3,287,0,0,0.0
ТЕСТ B Generator_11page_NOimg_24.08,lol,свежий,00-05,2,112,7,6.2,283,0,0,0.0
