datetime,event,campaign,name,clickid,country,source,referer,user_ip,postback_ip,linked
"2026-09-15 08:15:07",reg,dorgen_engine,Dorgen_engine,c5aa252337bdcbf4,NL,iris.6655.team,https://yandex.ru/,50.7.47.202,209.38.42.185,yes
"2026-09-15 05:15:07",reg,dorgen_engine,Dorgen_engine,148c24191a8b9b6f,PL,winline.1530.team,https://yandex.ru/,31.76.94.77,209.38.42.185,yes
"2026-09-15 04:15:07",reg,dorgen_engine,Dorgen_engine,f6b15c8093e549a8,RU,epicstar.9942.team,https://yandex.ru/,2a00:1fa1:86b5:a794:25f7:d68e:c92c:6981,209.38.42.185,yes
"2026-09-15 03:15:08",reg,dorgen_engine,Dorgen_engine,5079b8d6714e03fb,NL,melbet.casinob3.lol,https://yandex.ru/,50.7.177.103,209.38.42.185,yes
"2026-09-15 00:15:09",reg,dorgen_engine,Dorgen_engine,d10ac2e7854580ca,PT,cactus.nlel.team,https://yandex.ru/,85.234.64.223,209.38.42.185,yes
"2026-09-14 23:15:10",reg,dorgen_engine,Dorgen_engine,7b8d861295c70551,SE,gizbo.p8v.team,,217.217.245.209,209.38.42.185,yes
"2026-09-14 12:15:08",reg,dorgen_engine,Dorgen_engine,207b439782ae8e6b,DE,flagman.t8s4.lol,https://yandex.ru/,83.98.199.46,209.38.42.185,yes
"2026-09-14 11:15:08",reg,dorgen_engine,Dorgen_engine,1cdcd15d511625fb,NL,martin.2334.team,https://yandex.ru/,2.27.249.211,209.38.42.185,yes
"2026-09-14 10:15:07",reg,dorgen_engine,Dorgen_engine,42f9a2772ef3de91,DE,1win.brlu.team,https://yandex.ru/,152.53.132.232,209.38.42.185,yes
"2026-09-13 21:15:09",reg,dorgen_engine,Dorgen_engine,e5c3e5e13d6f1ce1,RU,why.jbrh.casino,https://yandex.ru/,2a06:2840::73,209.38.42.185,yes
"2026-09-13 20:15:09",reg,arkada_engine,Arkada_engine,1bf857ea542b72ce,BD,arkadaclubplay.buzz,https://arkadaclubplay.buzz/,160.250.241.124,209.38.42.185,yes
"2026-09-13 20:15:09",reg,dorgen_engine,Dorgen_engine,c66fe573fd9742b6,DE,frank.casino1209.casino,https://yandex.ru/,104.222.180.7,209.38.42.185,yes
"2026-09-13 19:15:09",reg,dorgen_engine,Dorgen_engine,36b41694649d52b2,EE,luckybear.psbl.lol,https://yandex.ru/,217.9.12.238,209.38.42.185,yes
"2026-09-13 18:22:06",dep,dorgen_engine,Dorgen_engine,91108d6765509a2f,NL,martin.9051.team,https://yandex.ru/,91.233.8.125,209.38.42.185,yes
"2026-09-13 18:17:32",dep,eva_engine,Eva_engine,c1165773da17a246,NL,eva.jgcasino.team,https://yandex.ru/,5.129.226.109,209.38.42.185,yes
"2026-09-13 18:16:56",reg,eva_engine,Eva_engine,c1165773da17a246,NL,eva.jgcasino.team,https://yandex.ru/,5.129.226.109,209.38.42.185,yes
"2026-09-13 18:15:11",reg,dorgen_engine,Dorgen_engine,91108d6765509a2f,NL,martin.9051.team,https://yandex.ru/,91.233.8.125,209.38.42.185,yes
"2026-09-13 16:21:57",dep,dorgen_engine,Dorgen_engine,a5e9b320f4ace8f9,EE,slotozal.2129.lol,https://yandex.ru/,132.243.65.26,209.38.42.185,yes
"2026-09-13 16:15:10",reg,dorgen_engine,Dorgen_engine,a5e9b320f4ace8f9,EE,slotozal.2129.lol,https://yandex.ru/,132.243.65.26,209.38.42.185,yes
"2026-09-13 15:21:46",dep,dorgen_engine,Dorgen_engine,d9613b07d8015062,LV,r7.rzbcasino.team,https://yandex.ru/,185.145.245.235,209.38.42.185,yes
